seq_name	tax_name	percent
02b4317d07dfa2d4bcf0b885431ba6ce	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia argi	100.0
02b4cbe5c2955ab2f66dc82cdf6dad64	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales_unclassfied;Aquabacterium;Aquabacterium commune	99.209
02bb3fddb0fb20967861186603f13c1e	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium pseudoperiodonticum	100.0
02c6e1d04f8bf2e265b98fabcf8ce0e3	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis	99.59
02d21462b9f50fb4e492f71e690109f8	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Lentihominibacter;Lentihominibacter hominis	96.735
02db09efa7c46a21be5fadc51cb17dd8	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerocolumna;Anaerocolumna jejuensis	88.538
030924dd76fe5626a5f976c849de51fa	Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila	99.194
032819f454ac44fcf22065bd8c00107c	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Lancefieldella;Lancefieldella parvula	100.0
032bad98c20cc6630fdcaa4514a92405	Bacteria;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae;Dehalobacter;Dehalobacter restrictus	89.558
03318c84b7f37321f8038e4fd7c3fb19	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospira;Lachnospira eligens	95.984
03351f21cc19542b5511bd5d041ff4b2	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Wansuia;Wansuia hejianensis	92.683
0338d095d316f1e1aba604af20666a9e	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;Eubacterium ventriosum	95.181
0341326f8a0a89b1ed17d69e294ef9f3	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospira;Lachnospira eligens	94.779
